id,URL,Nome,Informação,Classificação_da_água,Coordenadas,Nome da Praia,Região,Concelho,Categoria,Qualidade da água,Vigilancia,Posto de socorro,Sanitarios,Duche,Recolha lixo,Limpeza praia,Painel informativo,Apoio balnear,Apoio à praia,Estacionamento,Bandeira Azul,Acessível,Cadeira anfíbia,Ondas especiais,Obras em curso,Risco de derrocada
9724180022,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180022,Madalena,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.53401,-28.53449",Madalena,AÇORES,MADALENA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
9724180028,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180028,Milícias,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.75064,-25.62527",Milícias,AÇORES,PONTA DELGADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
9724180102,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180102,Prainha de Água d'Alto,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71824,-25.48164",Prainha de Água d'Alto,AÇORES,VILA FRANCA DO CAMPO,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
10146368802,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368802,Caisinho,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.4567,-28.15156",Caisinho,AÇORES,SÃO ROQUE DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
9724180096,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180096,São Lourenço,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 14 setembro",Excelente,"36.98803,-25.05407",São Lourenço,AÇORES,VILA DO PORTO,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
9724180106,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180106,Água d'Alto,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71662,-25.47353",Água D'Alto,AÇORES,VILA FRANCA DO CAMPO,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
9724180012,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180012,Baixas,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.41854,-28.38513",Baixas,AÇORES,MADALENA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
10686881394,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10686881394,Porto da Baixa,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.44569,-28.07857",Porto da Baixa,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724180046,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180046,Morro,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"37.745905,-25.242691",Morro,AÇORES,POVOAÇÃO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
9724180036,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180036,Pópulo,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.75012,-25.61818",Pópulo,AÇORES,PONTA DELGADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não
9724180094,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180094,Formosa,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 15 setembro",Excelente,"36.95101,-25.098",Formosa,AÇORES,VILA DO PORTO,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
