id,URL,Nome,Informação,Classificação_da_água,Coordenadas
9724180054,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180054,Quatro Ribeiras,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.79266,-27.22562"
9724180104,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180104,Corpo Santo,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71384,-25.43724"
9724180038,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180038,Praia dos Mosteiros,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.88777,-25.82423"
9724180034,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180034,Ponta da Ferraria,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.85838,-25.85226"
9724179976,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179976,Portinhos - Fajã Grande,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.60674,-28.03462"
9724180018,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180018,São Mateus,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.43078,-28.46104"
9724179970,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179970,Salgueiros,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.6711,-27.07504"
9724179986,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179986,Porto Pim,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.52455,-28.62588"
9724180090,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180090,Preguiça-Velas,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.68046,-28.21327"
9724180040,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180040,Poças Sul dos Mosteiros,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.89843,-25.82262"
9724179974,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179974,Negrito,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.65583,-27.2818"
9724179964,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179964,Cinco Ribeiras,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.67472,-27.32806"
9724179984,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179984,Almoxarife,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 14 setembro",Excelente,"38.555638,-28.609752"
9724180016,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180016,Criação Velha,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.50501,-28.54133"
9724180072,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180072,Praia dos Moinhos,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.82397,-25.44578"
9724180048,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180048,Praia do Fogo (Ribeira Quente),"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"37.73046,-25.31032"
9724180098,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180098,Maia,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 14 setembro",Excelente,"36.93911,-25.01406"
9724180052,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180052,Porto Martins,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.68036,-27.05542"
